Hugo Symbol	Entrez Gene ID	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
ATRX	546	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MYO5A	4644	1	No	No	No	No	No	No	No	No	Yes
RTEL1	51750	3	Yes	No	Yes	Yes	Yes	No	No	No	No
KDM4C	23081	1	No	No	No	No	No	No	Yes	No	No
CDK12	51755	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
ERC1	23085	1	No	No	No	No	No	No	No	No	Yes
AXL	558	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
MYOD1	4654	4	Yes	No	No	Yes	Yes	No	No	No	Yes
SEPTIN9	10801	2	No	No	No	No	No	No	Yes	No	Yes
ARHGAP26	23092	2	No	No	No	No	No	No	Yes	No	Yes
B2M	567	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes
NAB2	4665	1	No	No	No	No	No	No	No	No	Yes
SRC	6714	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
NACA	4666	2	No	No	No	No	No	No	Yes	No	Yes
TNFRSF14	8764	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
GATA1	2623	6	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes
GATA2	2624	6	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes
GATA3	2625	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GATA4	2626	1	No	No	No	No	No	Yes	No	No	No
FRS2	10818	1	No	No	No	No	No	No	Yes	No	No
GATA6	2627	1	No	No	No	No	No	Yes	No	No	No
BARD1	580	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
BAX	581	1	No	No	No	No	No	No	No	No	Yes
NBN	4683	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
CCND1	595	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
BCL2	596	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
BCL2L1	598	4	Yes	No	No	Yes	Yes	Yes	No	No	No
BCL2L2	599	2	No	No	No	No	No	Yes	Yes	No	No
TNFRSF11A	8792	1	No	No	No	No	No	No	Yes	No	No
BCL3	602	2	No	No	No	No	No	No	Yes	No	Yes
H3F3AP4	440926	1	Yes	No	No	No	No	No	No	No	No
BCL6	604	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
BCL7A	605	2	No	No	No	No	No	No	Yes	No	Yes
NBEAP1	606	1	No	No	No	No	No	No	Yes	No	No
BCL9	607	3	Yes	Yes	No	No	No	No	Yes	No	Yes
TNFRSF17	608	2	No	No	No	No	No	No	Yes	No	Yes
SSX1	6756	2	No	No	No	No	No	No	Yes	No	Yes
BCR	613	5	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes
TRIM24	8805	2	No	No	No	No	No	No	Yes	No	Yes
SSX2	6757	2	No	No	No	No	No	No	Yes	No	Yes
DCAF12L2	340578	1	No	No	No	No	No	No	No	No	Yes
SSX4	6759	2	No	No	No	No	No	No	Yes	No	Yes
SS18	6760	3	Yes	Yes	No	No	No	No	Yes	No	Yes
SESN1	27244	3	Yes	No	Yes	Yes	Yes	No	No	No	No
CRLF2	64109	6	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes
CIC	23152	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ARID5A	10865	2	Yes	No	No	No	Yes	No	No	No	No
INPP4B	8821	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
SEPTIN6	23157	2	No	No	No	No	No	No	Yes	No	Yes
STAT3	6774	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
STAT4	6775	1	No	No	No	No	No	No	Yes	No	No
STAT5A	6776	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No
STAT5B	6777	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
RRAGC	64121	3	Yes	Yes	No	Yes	Yes	No	No	No	No
STAT6	6778	4	Yes	Yes	No	No	Yes	No	Yes	No	Yes
CXORF67	340602	2	Yes	Yes	No	Yes	No	No	No	No	No
PRDM1	639	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BLM	641	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
GMPS	8833	2	No	No	No	No	No	No	Yes	No	Yes
SOCS2	8835	1	No	No	No	No	No	No	Yes	No	No
AURKA	6790	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
CCN6	8838	1	No	No	No	No	No	No	Yes	No	No
NUTM1	256646	3	Yes	No	No	No	No	Yes	No	No	Yes
STK11	6794	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PASK	23178	1	No	No	No	No	No	No	Yes	No	No
MALT1	10892	5	Yes	No	No	Yes	Yes	No	Yes	No	Yes
BMP5	653	1	No	No	No	No	No	No	No	No	Yes
BMPR1A	657	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
LARP4B	23185	1	No	No	No	No	No	No	No	No	Yes
STRN	6801	1	No	No	No	No	No	No	No	No	Yes
NF1	4763	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
STK19	8859	3	Yes	No	No	Yes	Yes	No	No	No	No
FOXL2	668	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GPC3	2719	1	No	No	No	No	No	No	No	No	Yes
BRCA1	672	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BRAF	673	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
BRCA2	675	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NF2	4771	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NFATC2	4773	1	No	No	No	No	No	No	No	No	Yes
NFE2	4778	2	Yes	Yes	No	No	Yes	No	No	No	No
NFE2L2	4780	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
NFIB	4781	1	No	No	No	No	No	No	No	No	Yes
GLI1	2735	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
KLF5	688	2	Yes	Yes	No	Yes	No	No	No	No	No
FUBP1	8880	6	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes
BTG1	694	5	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes
BTK	695	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
NFKB2	4791	2	No	No	No	No	No	No	Yes	No	Yes
NFKBIA	4792	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
NFKBIE	4794	1	No	No	No	No	No	No	No	No	Yes
BUB1B	701	1	No	No	No	No	No	No	No	No	Yes
SYK	6850	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
KDM2B	84678	1	No	No	No	No	No	No	Yes	No	No
JAZF1	221895	2	No	No	No	No	No	No	Yes	No	Yes
ZNF479	90827	1	No	No	No	No	No	No	No	No	Yes
PNRC1	10957	3	Yes	No	No	Yes	Yes	No	No	No	No
GNA11	2767	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
GNA12	2768	3	Yes	Yes	No	No	Yes	No	Yes	No	No
MLLT11	10962	1	No	No	No	No	No	No	No	No	Yes
BCL10	8915	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
MEF2B	100271849	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
WDR90	197335	1	No	No	No	No	No	No	Yes	No	No
NKX3-1	4824	3	Yes	No	Yes	Yes	Yes	No	No	No	No
GNAQ	2776	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
TAF1	6872	1	No	No	No	No	No	No	Yes	No	No
GNAS	2778	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
CAMTA1	23261	2	No	No	No	No	No	No	Yes	No	Yes
GNB1	2782	3	Yes	Yes	No	Yes	Yes	No	No	No	No
PHOX2B	8929	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
CLP1	10978	2	No	No	No	No	No	No	Yes	No	Yes
MGA	23269	3	Yes	No	Yes	Yes	Yes	No	No	No	No
MAP3K7	6885	1	No	No	No	No	No	No	Yes	No	No
TAL1	6886	3	Yes	Yes	No	No	No	No	Yes	No	Yes
TAL2	6887	2	No	No	No	No	No	No	Yes	No	Yes
NONO	4841	1	No	No	No	No	No	No	No	No	Yes
TAP1	6890	3	Yes	No	No	Yes	Yes	No	No	No	No
TAP2	6891	3	Yes	No	No	Yes	Yes	No	No	No	No
CNOT3	4849	1	No	No	No	No	No	No	No	No	Yes
NOTCH1	4851	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NOTCH2	4853	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NOTCH3	4854	4	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No
NOTCH4	4855	3	Yes	Yes	Yes	Yes	Yes	No	No	No	No
NPM1	4869	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TCEA1	6917	1	No	No	No	No	No	No	No	No	Yes
HIST1H3F	8968	3	Yes	No	No	Yes	Yes	No	No	No	No
CACNA1D	776	1	No	No	No	No	No	No	No	No	Yes
TCEB1	6921	3	Yes	No	No	Yes	Yes	No	No	No	No
HIST1H2AG	8969	3	Yes	No	No	No	Yes	No	Yes	No	No
ACSL6	23305	2	No	No	No	No	No	No	Yes	No	Yes
HIST1H2BJ	8970	3	Yes	No	No	No	Yes	No	Yes	No	No
ICOSLG	23308	3	Yes	No	No	Yes	Yes	No	No	No	No
MGAM	8972	2	Yes	Yes	No	No	Yes	No	No	No	No
DDR1	780	1	No	No	No	No	No	Yes	No	No	No
RAB35	11021	3	Yes	Yes	No	Yes	Yes	No	No	No	No
TBX3	6926	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
HNF1A	6927	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TCF3	6929	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
TCF7L2	6934	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
CAD	790	1	No	No	No	No	No	No	Yes	No	No
ZEB1	6935	1	No	No	No	No	No	No	No	No	Yes
RPS6KA4	8986	3	Yes	Yes	No	Yes	Yes	No	No	No	No
TCF12	6938	1	No	No	No	No	No	No	No	No	Yes
ARHGEF28	64283	2	Yes	Yes	No	No	Yes	No	No	No	No
NRAS	4893	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
CALR	811	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
TRA	6955	2	Yes	Yes	No	No	No	No	No	No	Yes
EML4	27436	2	No	No	No	No	No	No	Yes	No	Yes
TRB	6957	2	Yes	Yes	No	No	No	No	No	No	Yes
NTHL1	4913	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
KMT5A	387893	3	Yes	No	No	Yes	Yes	No	No	No	No
NTRK1	4914	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
NTRK2	4915	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
NTRK3	4916	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
TRD	6964	2	Yes	Yes	No	No	No	No	No	No	Yes
TRG	6965	2	Yes	Yes	No	No	No	No	Yes	No	No
PCLO	27445	1	No	No	No	No	No	No	Yes	No	No
CNTRL	11064	2	No	No	No	No	No	No	Yes	No	Yes
DDR2	4921	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
GPS2	2874	3	Yes	No	Yes	Yes	Yes	No	No	No	No
KSR2	283455	2	Yes	Yes	No	No	Yes	No	No	No	No
ZNF429	353088	1	No	No	No	No	No	No	No	No	Yes
MAP3K14	9020	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No
SOCS3	9021	1	No	No	No	No	No	No	Yes	No	No
NUMA1	4926	2	No	No	No	No	No	No	Yes	No	Yes
NUP98	4928	3	Yes	Yes	No	No	No	No	Yes	No	Yes
MPEG1	219972	2	Yes	No	No	No	Yes	No	No	No	No
SOX17	64321	3	Yes	No	Yes	Yes	Yes	No	No	No	No
CARS	833	2	No	No	No	No	No	No	Yes	No	Yes
NSD1	64324	5	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes
CASP3	836	1	No	No	No	No	No	No	No	No	Yes
ARHGEF12	23365	2	No	No	No	No	No	No	Yes	No	Yes
RFWD2	64326	3	Yes	Yes	No	Yes	Yes	No	No	No	No
CASP8	841	6	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes
CASP9	842	1	No	No	No	No	No	No	No	No	Yes
SETD4	54093	2	Yes	No	No	No	Yes	No	No	No	No
CRTC1	23373	1	No	No	No	No	No	No	No	No	Yes
GRIN2A	2903	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
SERP2	387923	1	No	No	No	No	No	No	Yes	No	No
NCSTN	23385	3	Yes	Yes	No	No	Yes	No	Yes	No	No
RUNX2	860	1	No	No	No	No	No	No	Yes	No	No
RUNX1	861	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes
ARHGAP35	2909	1	No	No	No	Yes	No	No	No	No	No
RUNX1T1	862	4	Yes	Yes	No	No	Yes	No	Yes	No	Yes
TEC	7006	2	No	No	No	No	No	No	Yes	No	Yes
OMD	4958	2	No	No	No	No	No	No	Yes	No	Yes
CBFA2T3	863	2	No	No	No	No	No	No	Yes	No	Yes
CBFB	865	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
GRM3	2913	2	No	No	No	No	No	Yes	No	No	Yes
TEK	7010	4	Yes	No	No	Yes	Yes	Yes	No	No	No
CBL	867	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TERC	7012	1	No	No	No	No	No	Yes	No	No	No
CBLB	868	1	No	No	No	No	No	No	No	No	Yes
TERT	7015	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes
MAP3K6	9064	1	No	No	No	No	No	No	Yes	No	No
FGFR1OP	11116	2	No	No	No	No	No	No	Yes	No	Yes
DICER1	23405	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
PTPRT	11122	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
CREB3L1	90993	2	No	No	No	No	No	No	Yes	No	Yes
GSK3B	2932	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
FAF1	11124	1	No	No	No	No	No	No	Yes	No	No
TFE3	7030	3	Yes	Yes	No	No	No	No	Yes	No	Yes
CCNC	892	1	No	No	No	No	No	No	No	No	Yes
TFRC	7037	2	No	No	No	No	No	No	Yes	No	Yes
CCND2	894	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CCND3	896	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CCNE1	898	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
RYBP	23429	3	Yes	No	Yes	Yes	Yes	No	No	No	No
RSPO3	84870	1	No	No	No	No	No	No	No	No	Yes
TGFBR1	7046	3	Yes	No	Yes	Yes	Yes	No	No	No	No
KAT7	11143	1	No	No	No	No	No	No	No	No	Yes
TGFBR2	7048	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
USP6	9098	2	No	No	No	No	No	No	Yes	No	Yes
MSH6	2956	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
USP8	9101	3	Yes	Yes	No	Yes	No	No	No	No	Yes
DCUN1D1	54165	3	Yes	No	No	Yes	Yes	No	No	No	No
GTF2I	2969	2	Yes	Yes	No	No	Yes	No	No	No	No
LATS1	9113	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
SF3B1	23451	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
SOX21	11166	1	No	No	No	No	No	No	No	No	Yes
PSIP1	11168	2	No	No	No	No	No	No	Yes	No	Yes
CD22	933	2	No	No	No	No	No	Yes	Yes	No	No
CEP89	84902	1	No	No	No	No	No	No	No	No	Yes
SMC3	9126	3	Yes	No	Yes	No	Yes	No	Yes	No	No
HEY1	23462	2	No	No	No	No	No	No	Yes	No	Yes
NKX2-1	7080	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
BAZ1A	11177	1	No	No	No	No	No	No	No	No	Yes
CD28	940	3	Yes	Yes	No	No	Yes	No	No	No	Yes
RABEP1	9135	2	No	No	No	No	No	No	Yes	No	Yes
BRD4	23476	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CD36	948	1	No	No	No	No	No	No	Yes	No	No
FURIN	5045	2	Yes	Yes	No	No	Yes	No	No	No	No
TLL2	7093	1	No	No	No	No	No	No	Yes	No	No
PAFAH1B2	5049	2	No	No	No	No	No	No	Yes	No	Yes
LEPROTL1	23484	1	No	No	No	No	No	No	No	No	Yes
WIF1	11197	1	No	No	No	No	No	No	No	No	Yes
ERRFI1	54206	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
HIST1H1C	3006	4	Yes	No	No	Yes	Yes	No	Yes	No	No
HIST1H1D	3007	3	Yes	No	Yes	No	Yes	No	Yes	No	No
CHEK2	11200	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
HIST1H1E	3008	3	Yes	Yes	No	No	Yes	No	Yes	No	No
HIST1H1B	3009	2	Yes	No	Yes	No	Yes	No	No	No	No
PAK1	5058	3	Yes	Yes	No	Yes	Yes	No	No	No	No
TTL	150465	1	No	No	No	No	No	No	Yes	No	No
CD58	965	3	Yes	No	Yes	No	Yes	No	Yes	No	No
PAK3	5063	1	No	No	No	No	No	No	Yes	No	No
PCSK7	9159	1	No	No	No	No	No	No	Yes	No	No
TMPRSS2	7113	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
HIST1H2BD	3017	3	Yes	No	No	Yes	Yes	No	No	No	No
CD70	970	2	No	No	No	No	No	Yes	Yes	No	No
H3F3A	3020	6	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes
CD74	972	2	No	No	No	No	No	Yes	No	No	Yes
CD79A	973	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
H3F3B	3021	4	Yes	No	No	Yes	Yes	No	No	No	Yes
TMSB4XP8	7117	1	No	No	No	No	No	No	Yes	No	No
CD79B	974	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
PARK2	5071	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
SETD7	80854	2	Yes	No	No	No	Yes	No	No	No	No
PAX3	5077	2	No	No	No	No	No	No	Yes	No	Yes
MAP3K13	9175	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes
PAX5	5079	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SUZ12	23512	5	Yes	No	No	Yes	Yes	No	Yes	No	Yes
TNFAIP3	7128	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PAX7	5081	2	No	No	No	No	No	No	Yes	No	Yes
PBX1	5087	2	No	No	No	No	No	No	Yes	No	Yes
KAT6B	23522	1	No	No	No	No	No	No	No	No	Yes
PC	5091	1	No	No	No	No	No	No	Yes	No	No
PCBP1	5093	4	Yes	No	No	No	Yes	No	Yes	No	Yes
CDC42	998	3	Yes	Yes	No	Yes	Yes	No	No	No	No
CDH1	999	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TOP1	7150	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
CDH10	1008	1	No	No	No	No	No	No	No	No	Yes
CDH11	1009	1	No	No	No	No	No	No	No	No	Yes
ZMYM3	9203	2	No	No	No	No	No	No	Yes	No	Yes
PCM1	5108	2	No	No	No	No	No	No	Yes	No	Yes
TP53	7157	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TP53BP1	7158	3	Yes	No	Yes	Yes	Yes	No	No	No	No
CDH17	1015	1	No	No	No	No	No	No	No	No	Yes
HDAC1	3065	4	Yes	Yes	No	No	Yes	Yes	Yes	No	No
CDK4	1019	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
AURKB	9212	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
CDK6	1021	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
SP140	11262	2	Yes	No	Yes	No	Yes	No	No	No	No
CDK8	1024	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
CDKN1A	1026	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
TPM3	7170	2	No	No	No	No	No	No	Yes	No	Yes
CDKN1B	1027	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
TPM4	7171	2	No	No	No	No	No	No	Yes	No	Yes
CDKN2A	1029	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CDKN2B	1030	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
CDKN2C	1031	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
TPR	7175	1	No	No	No	No	No	No	No	No	Yes
HMGN2P46	283651	1	No	No	No	No	No	No	No	No	Yes
HGF	3082	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
ZNF384	171017	2	No	No	No	No	No	No	Yes	No	Yes
NRG1	3084	2	Yes	No	Yes	No	No	No	No	No	Yes
ASXL1	171023	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PDCD1	5133	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
CNBD1	168975	1	No	No	No	No	No	No	No	No	Yes
TRAF2	7186	4	Yes	No	No	Yes	Yes	No	Yes	No	No
HIF1A	3091	3	Yes	Yes	No	No	Yes	No	No	No	Yes
TRAF3	7187	3	Yes	No	Yes	No	Yes	No	Yes	No	No
TRAF5	7188	3	Yes	No	Yes	No	Yes	No	Yes	No	No
HIP1	3092	2	No	No	No	No	No	No	Yes	No	Yes
CDX2	1045	2	No	No	No	No	No	No	Yes	No	Yes
CEBPA	1050	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
HLA-A	3105	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
CENPA	1058	3	Yes	No	No	Yes	Yes	No	No	No	No
HLA-B	3106	3	Yes	No	Yes	Yes	Yes	No	No	No	No
PDGFB	5155	3	Yes	Yes	No	No	No	No	Yes	No	Yes
HLA-C	3107	1	No	No	No	Yes	No	No	No	No	No
PDGFRA	5156	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
MNX1	3110	2	No	No	No	No	No	No	Yes	No	Yes
PDGFRB	5159	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
PDK1	5163	2	No	No	No	No	No	Yes	Yes	No	No
PATZ1	23598	1	No	No	No	No	No	No	No	No	Yes
PDPK1	5170	3	Yes	No	No	Yes	Yes	No	No	No	No
BACH2	60468	2	Yes	No	Yes	No	Yes	No	No	No	No
HLF	3131	2	No	No	No	No	No	No	Yes	No	Yes
NUTM2A	728118	2	No	No	No	No	No	No	Yes	No	Yes
FKBP9	11328	1	No	No	No	No	No	No	No	No	Yes
PER1	5187	2	No	No	No	No	No	No	Yes	No	Yes
CBLC	23624	1	No	No	No	No	No	No	No	No	Yes
U2AF2	11338	3	Yes	No	No	No	Yes	No	Yes	No	No
S1PR2	9294	1	No	No	No	No	No	No	Yes	No	No
TSC1	7248	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TSC2	7249	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
CHD2	1106	2	No	No	No	No	No	No	Yes	No	Yes
CHD4	1108	1	No	No	No	No	No	No	No	No	Yes
TSHR	7253	6	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes
CHEK1	1111	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
HMGA1	3159	2	No	No	No	No	No	No	Yes	No	Yes
FOXA1	3169	4	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes
KLF4	9314	5	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes
CHN1	1123	1	No	No	No	No	No	No	Yes	No	No
TRIP13	9319	2	Yes	Yes	Yes	Yes	No	No	No	No	No
TRIP11	9321	2	No	No	No	No	No	No	Yes	No	Yes
HNRNPA2B1	3181	1	No	No	No	No	No	No	No	No	Yes
PGR	5241	3	Yes	Yes	No	Yes	Yes	No	No	No	No
HIRA	7290	1	No	No	No	No	Yes	No	No	No	No
TLX1	3195	3	Yes	Yes	No	No	No	No	Yes	No	Yes
HOXA3	3200	1	No	No	No	No	No	No	Yes	No	No
TYK2	7297	3	Yes	Yes	No	No	Yes	No	Yes	No	No
PHF1	5252	1	No	No	No	No	No	No	Yes	No	No
TYRO3	7301	1	No	No	No	No	No	Yes	No	No	No
HOXA9	3205	2	No	No	No	No	No	No	Yes	No	Yes
HOXA11	3207	2	No	No	No	No	No	No	Yes	No	Yes
HOXA13	3209	2	No	No	No	No	No	No	Yes	No	Yes
U2AF1	7307	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
CKS1B	1163	1	No	No	No	No	No	No	Yes	No	No
KMT2C	58508	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes
TFPT	29844	2	No	No	No	No	No	No	Yes	No	Yes
HOXC11	3227	2	No	No	No	No	No	No	Yes	No	Yes
PIGA	5277	2	Yes	No	Yes	No	Yes	No	No	No	No
HOXC13	3229	2	No	No	No	No	No	No	Yes	No	Yes
HOXD11	3237	2	No	No	No	No	No	No	Yes	No	Yes
PRPF40B	25766	1	No	No	No	No	No	No	No	No	Yes
PIK3C2B	5287	1	No	No	No	No	No	Yes	No	No	No
HOXD13	3239	2	No	No	No	No	No	No	Yes	No	Yes
PIK3C2G	5288	4	Yes	No	No	Yes	Yes	Yes	No	No	No
PIK3C3	5289	3	Yes	No	No	Yes	Yes	No	No	No	No
GID4	79018	2	No	No	No	No	No	Yes	Yes	No	No
PIK3CA	5290	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
NEGR1	257194	3	Yes	No	No	Yes	Yes	No	No	No	No
PIK3CB	5291	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes
PIM1	5292	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
PIK3CD	5293	3	Yes	Yes	No	Yes	Yes	No	No	No	No
PIK3CG	5294	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No
PIK3R1	5295	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PIK3R2	5296	4	Yes	No	Yes	Yes	Yes	No	Yes	No	No
RECQL4	9401	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
CLTC	1213	2	No	No	No	No	No	No	Yes	No	Yes
ETAA1	54465	2	Yes	No	Yes	Yes	No	No	No	No	No
HRAS	3265	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
PLAG1	5324	2	No	No	No	No	No	No	Yes	No	Yes
ASPSCR1	79058	1	No	No	No	No	No	No	No	No	Yes
CCR4	1233	1	No	No	No	No	No	No	No	No	Yes
MDS2	259283	2	No	No	No	No	No	No	Yes	No	Yes
HSD3B1	3283	1	No	No	No	No	No	Yes	No	No	No
CCR7	1236	1	No	No	No	No	No	No	No	No	Yes
PLCG1	5335	3	Yes	Yes	No	No	Yes	No	No	No	Yes
DGCR8	54487	1	No	No	No	No	No	No	No	No	Yes
PLCG2	5336	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No
QKI	9444	2	No	No	No	No	No	Yes	No	No	Yes
KDM6A	7403	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
VAV1	7409	3	Yes	Yes	No	No	Yes	No	No	No	Yes
